show_id,title,type,release_year,duration_minutes,season_count,description,date_added,rating
s30,Paranoia,Movie,2013,106.0,,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",2021-09-19,PG-13
s31,Ankahi Kahaniya,Movie,2021,111.0,,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",2021-09-17,TV-14
s32,Chicago Party Aunt,TV Show,2021,,1.0,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,2021-09-17,TV-MA
s33,Sex Education,TV Show,2020,,3.0,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",2021-09-17,TV-MA
s34,Squid Game,TV Show,2021,,1.0,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",2021-09-17,TV-MA
s35,Tayo and Little Wizards,TV Show,2020,,1.0,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,2021-09-17,TV-Y7
s36,The Father Who Moves Mountains,Movie,2021,110.0,,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",2021-09-17,TV-MA
s37,The Stronghold,Movie,2021,105.0,,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",2021-09-17,TV-MA
s38,Angry Birds,TV Show,2018,,1.0,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",2021-09-16,TV-Y7
s39,Birth of the Dragon,Movie,2017,96.0,,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",2021-09-16,PG-13
s40,Chhota Bheem,TV Show,2021,,3.0,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",2021-09-16,TV-Y7
s41,He-Man and the Masters of the Universe,TV Show,2021,,1.0,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,2021-09-16,TV-Y7
s42,Jaws,Movie,1975,124.0,,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",2021-09-16,PG
s43,Jaws 2,Movie,1978,116.0,,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",2021-09-16,PG
s44,Jaws 3,Movie,1983,98.0,,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",2021-09-16,PG
s45,Jaws: The Revenge,Movie,1987,91.0,,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",2021-09-16,PG-13
s46,My Heroes Were Cowboys,Movie,2021,23.0,,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",2021-09-16,PG
s47,Safe House,Movie,2012,115.0,,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,2021-09-16,R
s48,The Smart Money Woman,TV Show,2020,,1.0,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",2021-09-16,TV-MA
s49,Training Day,Movie,2001,122.0,,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,2021-09-16,R
s50,Castle and Castle,TV Show,2021,,2.0,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",2021-09-15,TV-MA
s51,Dharmakshetra,TV Show,2014,,1.0,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",2021-09-15,TV-PG
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2002,99.0,,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",2021-09-15,TV-14
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2003,99.0,,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,2021-09-15,TV-14
s54,InuYasha the Movie 4: Fire on the Mystic Island,Movie,2004,88.0,,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",2021-09-15,TV-PG
s55,InuYasha the Movie: Affections Touching Across Time,Movie,2001,100.0,,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",2021-09-15,TV-PG
s56,Nailed It,TV Show,2021,,6.0,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",2021-09-15,TV-PG
s57,Naruto Shippuden the Movie: Blood Prison,Movie,2011,102.0,,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",2021-09-15,TV-14
s58,Naruto Shippûden the Movie: Bonds,Movie,2008,93.0,,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",2021-09-15,TV-PG
s59,Naruto Shippûden the Movie: The Will of Fire,Movie,2009,96.0,,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",2021-09-15,TV-PG
s60,Naruto Shippuden: The Movie,Movie,2007,95.0,,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",2021-09-15,TV-PG
s61,Naruto Shippuden: The Movie: The Lost Tower,Movie,2010,85.0,,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",2021-09-15,TV-14
s62,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,2005,97.0,,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",2021-09-15,TV-PG
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,2006,95.0,,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",2021-09-15,TV-PG
s64,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,2004,83.0,,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",2021-09-15,TV-PG
s65,Nightbooks,Movie,2021,103.0,,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,2021-09-15,TV-PG
s66,Numberblocks,TV Show,2021,,6.0,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",2021-09-15,TV-Y
s67,Raja Rasoi Aur Anya Kahaniyan,TV Show,2014,,1.0,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",2021-09-15,TV-G
s68,Saved by the Bell,TV Show,1994,,9.0,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",2021-09-15,TV-PG
s69,Schumacher,Movie,2021,113.0,,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",2021-09-15,TV-14
s70,Stories by Rabindranath Tagore,TV Show,2015,,1.0,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,2021-09-15,TV-PG
s71,Too Hot To Handle: Latino,TV Show,2021,,1.0,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",2021-09-15,TV-MA
s72,A StoryBots Space Adventure,Movie,2021,13.0,,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,2021-09-14,TV-Y
s73,Jack Whitehall: Travels with My Father,TV Show,2021,,5.0,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",2021-09-14,TV-MA
s74,King of Boys,Movie,2018,182.0,,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",2021-09-14,TV-MA
s75,The World's Most Amazing Vacation Rentals,TV Show,2021,,2.0,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",2021-09-14,TV-PG
s76,You vs. Wild: Out Cold,Movie,2021,106.0,,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",2021-09-14,TV-G
s77,Yowamushi Pedal,TV Show,2013,,1.0,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",2021-09-14,TV-14
s78,Little Singham - Black Shadow,Movie,2021,48.0,,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,2021-09-11,TV-Y7
s79,Tughlaq Durbar,Movie,2020,145.0,,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,2021-09-11,TV-14
s80,Tughlaq Durbar (Telugu),Movie,2021,145.0,,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,2021-09-11,TV-14
s81,Firedrake the Silver Dragon,Movie,2021,93.0,,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",2021-09-10,TV-Y7
s82,Kate,Movie,2021,106.0,,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",2021-09-10,R
s83,Lucifer,TV Show,2021,,6.0,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",2021-09-10,TV-14
s84,Metal Shop Masters,TV Show,2021,,1.0,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",2021-09-10,TV-MA
s85,Omo Ghetto: the Saga,Movie,2020,147.0,,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",2021-09-10,TV-MA
s86,Pokémon Master Journeys: The Series,TV Show,2021,,1.0,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!",2021-09-10,TV-Y7
s87,Prey,Movie,2021,87.0,,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,2021-09-10,TV-MA
s88,Titipo Titipo,TV Show,2019,,2.0,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,2021-09-10,TV-Y
s89,Blood Brothers: Malcolm X & Muhammad Ali,Movie,2021,96.0,,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",2021-09-09,PG-13
s90,Mighty Raju,TV Show,2017,,4.0,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!",2021-09-09,TV-Y7
s91,Paradise Hills,Movie,2019,95.0,,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.",2021-09-09,TV-MA
s92,The Women and the Murderer,Movie,2021,92.0,,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,2021-09-09,TV-14
s93,Into the Night,TV Show,2021,,2.0,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,2021-09-08,TV-MA
s94,JJ+E,Movie,2021,91.0,,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",2021-09-08,TV-MA
s95,Show Dogs,Movie,2018,90.0,,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,2021-09-08,PG
s96,The Circle,TV Show,2021,,3.0,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",2021-09-08,TV-MA
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,2018,97.0,,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",2021-09-07,TV-MA
s98,Kid Cosmic,TV Show,2021,,2.0,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,2021-09-07,TV-Y7
s99,Octonauts: Above & Beyond,TV Show,2021,,1.0,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",2021-09-07,TV-Y
s100,On the Verge,TV Show,2021,,1.0,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",2021-09-07,TV-MA
s101,Tobot Galaxy Detectives,TV Show,2019,,2.0,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil.",2021-09-07,TV-Y7
s102,Untold: Breaking Point,Movie,2021,80.0,,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",2021-09-07,TV-MA
s103,Countdown: Inspiration4 Mission to Space,TV Show,2021,,1.0,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",2021-09-06,TV-14
s104,Shadow Parties,Movie,2020,117.0,,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,2021-09-06,TV-MA
s105,Tayo the Little Bus,TV Show,2016,,2.0,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.",2021-09-06,TV-Y
s106,Angamaly Diaries,Movie,2017,128.0,,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",2021-09-05,TV-14
s107,Bunk'd,TV Show,2021,,5.0,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.",2021-09-05,TV-G
s108,A Champion Heart,Movie,2018,90.0,,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",2021-09-04,G
s109,Dive Club,TV Show,2021,,1.0,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.",2021-09-03,TV-G
s110,La casa de papel,TV Show,2021,,5.0,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.,2021-09-03,TV-MA
s111,Money Heist: From Tokyo to Berlin,TV Show,2021,,1.0,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",2021-09-03,TV-MA
s112,Sharkdog,TV Show,2021,,1.0,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.",2021-09-03,TV-Y
s113,Worth,Movie,2021,119.0,,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",2021-09-03,PG-13
s114,Afterlife of the Party,Movie,2021,110.0,,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,2021-09-02,TV-PG
s115,Anjaam,Movie,1994,143.0,,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",2021-09-02,TV-14
s116,Bright Star,Movie,2009,119.0,,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,2021-09-02,PG
s117,Dhanak,Movie,2015,114.0,,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,2021-09-02,TV-PG
s118,Final Account,Movie,2021,94.0,,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.,2021-09-02,PG-13
s119,Gurgaon,Movie,2017,106.0,,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.",2021-09-02,TV-14
s120,Here and There,Movie,2020,99.0,,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.",2021-09-02,TV-MA
s121,Heroes of Goo Jit Zu,TV Show,2021,,1.0,"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.",2021-09-02,TV-Y7
s122,Hotel Del Luna,TV Show,2019,,1.0,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.",2021-09-02,TV-14
s123,In the Cut,Movie,2003,118.0,,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",2021-09-02,R
s124,Luv Kushh,TV Show,2012,,1.0,"Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood.",2021-09-02,TV-Y7
s125,Pororo - The Little Penguin,TV Show,2013,,3.0,"On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.",2021-09-02,TV-Y7
s126,Q-Force,TV Show,2021,,1.0,"A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!",2021-09-02,TV-MA
s127,Shikara,Movie,2020,115.0,,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,2021-09-02,TV-14
s128,A Cinderella Story,Movie,2004,95.0,,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,2021-09-01,PG
s129,Agatha Christie's Crooked House,Movie,2017,115.0,,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family.",2021-09-01,PG-13
s130,An Unfinished Life,Movie,2005,108.0,,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",2021-09-01,PG-13
s131,Barbie Big City Big Dreams,Movie,2021,63.0,,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends.",2021-09-01,TV-Y
s132,Blade Runner: The Final Cut,Movie,1982,117.0,,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",2021-09-01,R
s133,Brave Animated Series,TV Show,2021,,1.0,A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.,2021-09-01,TV-MA
s134,Chappie,Movie,2015,121.0,,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",2021-09-01,R
s135,Clear and Present Danger,Movie,1994,142.0,,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",2021-09-01,PG-13
s136,Cliffhanger,Movie,1993,113.0,,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",2021-09-01,R
s137,Cold Mountain,Movie,2003,154.0,,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.",2021-09-01,R
s138,Crocodile Dundee in Los Angeles,Movie,2001,95.0,,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.",2021-09-01,PG
s139,Dear John,Movie,2010,108.0,,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.",2021-09-01,PG-13
s140,Do the Right Thing,Movie,1989,120.0,,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.",2021-09-01,R
s141,"El patrón, radiografía de un crimen",Movie,2014,100.0,,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,2021-09-01,TV-MA
s142,Extraction,Movie,2015,82.0,,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",2021-09-01,R
s143,Freedom Writers,Movie,2007,124.0,,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",2021-09-01,PG-13
s144,Green Lantern,Movie,2011,114.0,,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,2021-09-01,PG-13
s145,House Party,Movie,1990,104.0,,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",2021-09-01,R
s146,House Party 2,Movie,1991,94.0,,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",2021-09-01,R
s147,House Party 3,Movie,1994,94.0,,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.",2021-09-01,R
s148,How to Be a Cowboy,TV Show,2021,,1.0,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son.",2021-09-01,TV-PG
s149,HQ Barbers,TV Show,2020,,1.0,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business.",2021-09-01,TV-14
s150,I Got the Hook Up,Movie,1998,93.0,,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",2021-09-01,R
s151,In Too Deep,Movie,1999,97.0,,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",2021-09-01,R
s152,Initial D,Movie,2005,109.0,,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel.",2021-09-01,TV-14
s153,Janoskians: Untold and Untrue,Movie,2016,88.0,,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.,2021-09-01,TV-MA
s154,Kid-E-Cats,TV Show,2016,,2.0,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning.",2021-09-01,TV-Y
s155,Kuroko's Basketball,TV Show,2015,,3.0,"Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory.",2021-09-01,TV-MA
s156,Labyrinth,Movie,1986,101.0,,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",2021-09-01,PG
